Order,Family,Preservation,Origin,Inventory,Digitised,,
Acari,All families,Fluid,All,11670,184,,
Amphipoda,All families,Fluid,All,3270,481,,
Annelida,All families,Fluid,All,2970,178,,
Araneae,All families,Fluid,All,11670,447,,
Chilopoda,All families,Fluid,All,3150,44,,
Coleoptera,All families,Fluid,All,60000,11681,,
Diplopoda,All families,Fluid,All,3420,20,,
Diptera,All families,Fluid,All,30000,799,,
Hemiptera,All families,Fluid,All,18000,358,,
Hymenoptera,All families,Fluid,All,19500,4259,,
Isopoda,All families,Fluid,All,4080,126,,
Lepidoptera,All families,Fluid,All,30000,297,,
Orthoptera,All families,Fluid,All,19500,752,,
Other Insects,All families,Fluid,All,28560,5733,,
Other Invertebrates,All families,Fluid,All,4950,231,,
Pseudoscorpiones,All families,Fluid,All,3630,101,,
Acari,All families,Slide,All,15591,248,,
Coleoptera,All families,Slide,All,1305,244,,
Diptera,All families,Slide,All,4820,4060,,
Hemiptera,All families,Slide,All,34901,25015,,
Hymenoptera,All families,Slide,All,2169,2169,,
Lepidoptera,All families,Slide,All,4169,1988,,
Nematoda,All families,Slide,All,2114,2114,,
Other Insects/Invertebrates,All families,Slide,All,6671,2433,,
Thysanoptera,All families,Slide,All,11971,9018,,
Blattodea,All families,Pinned,All,1535,0,,
Coleoptera,All families,Pinned,All,635755,57968,,
Dermaptera,All families,Pinned,All,690,8,,
Diptera,All families,Pinned,All,136382,10681,,
Hemiptera,All families,Pinned,All,91926,79837,,
Hymenoptera,All families,Pinned,All,147925,75111,,
Isoptera,All families,Pinned,All,280,0,,
Lepidoptera,All families,Pinned,All,159161,8381,,
Mantodea,All families,Pinned,All,487,367,,
Mecoptera,All families,Pinned,All,180,2,,
Megaloptera,All families,Pinned,All,83,83,,
Neuroptera,All families,Pinned,All,1832,11,,
Odonata,All families,Pinned,All,1960,1631,,
Orthoptera,All families,Pinned,All,3380,45,,
Other Insects,All families,Pinned,All,336,0,,
Other Invertebrates,All families,Pinned,All,585,585,,
Phasmida,All families,Pinned,All,545,338,,
Plecoptera,All families,Pinned,All,715,185,,
Psocoptera,All families,Pinned,All,123,15,,
Trichoptera,All families,Pinned,All,3655,48,,
Blattodea,All families,Pinned,New Zealand,835,0,,
Coleoptera,Combined small families,Pinned,New Zealand,8849,1395,,
Coleoptera,Aderidae,Pinned,New Zealand,509,509,,
Coleoptera,Agyrtidae,Pinned,New Zealand,351,1,,
Coleoptera,Anobiidae,Pinned,New Zealand,5753,9,,
Coleoptera,Anthicidae,Pinned,New Zealand,2161,6,,
Coleoptera,Archeocrypticidae,Pinned,New Zealand,505,116,,
Coleoptera,Bostrichidae,Pinned,New Zealand,543,52,,
Coleoptera,Bothrideridae,Pinned,New Zealand,150,1,,
Coleoptera,Buprestidae,Pinned,New Zealand,401,3,,
Coleoptera,Byrrhidae,Pinned,New Zealand,3835,5,,
Coleoptera,Cantharidae,Pinned,New Zealand,1079,27,,
Coleoptera,Carabidae,Pinned,New Zealand,56271,28572,,
Coleoptera,Cavognathidae,Pinned,New Zealand,116,26,,
Coleoptera,Cerambycidae,Pinned,New Zealand,15381,2576,,
Coleoptera,Cerylonidae,Pinned,New Zealand,2533,1,,
Coleoptera,Chaetosomatidae,Pinned,New Zealand,107,1,,
Coleoptera,Chalcodryidae,Pinned,New Zealand,141,6,,
Coleoptera,Chelonariidae,Pinned,New Zealand,14,0,,
Coleoptera,Chrysomelidae,Pinned,New Zealand,15838,445,,
Coleoptera,Ciidae,Pinned,New Zealand,7635,2,,
Coleoptera,Clambidae,Pinned,New Zealand,360,23,,
Coleoptera,Cleridae,Pinned,New Zealand,1546,10,,
Coleoptera,Coccinellidae,Pinned,New Zealand,8866,42,,
Coleoptera,Corylophidae,Pinned,New Zealand,9673,235,,
Coleoptera,Cryptophagidae,Pinned,New Zealand,5543,651,,
Coleoptera,Cucujidae,Pinned,New Zealand,38,3,,
Coleoptera,Curculionidae,Pinned,New Zealand,115731,4889,,
Coleoptera,Cyclaxyridae,Pinned,New Zealand,337,1,,
Coleoptera,Dermestidae,Pinned,New Zealand,858,432,,
Coleoptera,Derodontidae,Pinned,New Zealand,151,3,,
Coleoptera,Dryopidae,Pinned,New Zealand,984,4,,
Coleoptera,Dytiscidae,Pinned,New Zealand,1930,8,,
Coleoptera,Elateridae,Pinned,New Zealand,8887,405,,
Coleoptera,Elmidae,Pinned,New Zealand,392,337,,
Coleoptera,Endomychidae,Pinned,New Zealand,3893,1,,
Coleoptera,Erotylidae,Pinned,New Zealand,3386,37,,
Coleoptera,Eucnemidae,Pinned,New Zealand,171,5,,
Coleoptera,Histeridae,Pinned,New Zealand,2930,15,,
Coleoptera,Hydraenidae,Pinned,New Zealand,2330,42,,
Coleoptera,Hydrophilidae,Pinned,New Zealand,5380,3843,,
Coleoptera,Jacobsoniidae,Pinned,New Zealand,41,5,,
Coleoptera,Laemophloeidae,Pinned,New Zealand,205,18,,
Coleoptera,Lamingtoniidae,Pinned,New Zealand,1,0,,
Coleoptera,Latridiidae,Pinned,New Zealand,11500,31,,
Coleoptera,Leiodidae,Pinned,New Zealand,9725,465,,
Coleoptera,Limnichidae,Pinned,New Zealand,351,5,,
Coleoptera,Lucanidae,Pinned,New Zealand,2098,685,,
Coleoptera,Lycidae,Pinned,New Zealand,187,0,,
Coleoptera,Megalopodidae,Pinned,New Zealand,6,0,,
Coleoptera,Melandryidae,Pinned,New Zealand,3811,7,,
Coleoptera,Melyridae,Pinned,New Zealand,3135,556,,
Coleoptera,Monotomidae,Pinned,New Zealand,519,68,,
Coleoptera,Mordellidae,Pinned,New Zealand,985,1,,
Coleoptera,Mycetophagidae,Pinned,New Zealand,2491,9,,
Coleoptera,Myraboliidae,Pinned,New Zealand,9,0,,
Coleoptera,Nitidulidae,Pinned,New Zealand,6437,2065,,
Coleoptera,Nosodendridae,Pinned,New Zealand,82,0,,
Coleoptera,Oedemeridae,Pinned,New Zealand,1615,88,,
Coleoptera,Phalacridae,Pinned,New Zealand,335,42,,
Coleoptera,Phloestrichidae,Pinned,New Zealand,23,0,,
Coleoptera,Phycosecidae,Pinned,New Zealand,657,0,,
Coleoptera,Priasilphidae,Pinned,New Zealand,178,5,,
Coleoptera,Prostomidae,Pinned,New Zealand,194,0,,
Coleoptera,Ptiliidae,Pinned,New Zealand,2502,37,,
Coleoptera,Ptilodactylidae,Pinned,New Zealand,123,0,,
Coleoptera,Pyrochroidae,Pinned,New Zealand,431,1,,
Coleoptera,Pythidae,Pinned,New Zealand,16,0,,
Coleoptera,Rhysodidae,Pinned,New Zealand,150,0,,
Coleoptera,Ripiphoridae,Pinned,New Zealand,109,2,,
Coleoptera,Salpingidae,Pinned,New Zealand,1991,6,,
Coleoptera,Scarabaeidae,Pinned,New Zealand,21781,144,,
Coleoptera,Scirtidae,Pinned,New Zealand,6923,12,,
Coleoptera,Scraptiidae,Pinned,New Zealand,2316,3,,
Coleoptera,Scydmaenidae,Pinned,New Zealand,6046,57,,
Coleoptera,Silvanidae,Pinned,New Zealand,1508,66,,
Coleoptera,Staphylinidae,Pinned,New Zealand,46284,5417,,
Coleoptera,Tenebrionidae,Pinned,New Zealand,16984,479,,
Coleoptera,Trogidae,Pinned,New Zealand,187,1,,
Coleoptera,Trogossitidae,Pinned,New Zealand,2827,737,,
Coleoptera,Ulodidae,Pinned,New Zealand,842,629,,
Coleoptera,Zopheridae,Pinned,New Zealand,20547,612,,
Dermaptera,Dermaptera,Pinned,New Zealand,485,2,,
Diptera,Combined small families,Pinned,New Zealand,5351,202,,
Diptera,Acroceridae,Pinned,New Zealand,317,274,,
Diptera,Agromyzidae,Pinned,New Zealand,4760,165,,
Diptera,Anisopodidae,Pinned,New Zealand,565,565,,
Diptera,Anthomyiidae,Pinned,New Zealand,810,0,,
Diptera,Anthomyzidae,Pinned,New Zealand,46,1,,
Diptera,Asilidae,Pinned,New Zealand,1018,0,,
Diptera,Asteiidae,Pinned,New Zealand,267,2,,
Diptera,Australimyzidae,Pinned,New Zealand,526,2,,
Diptera,Bibionidae,Pinned,New Zealand,868,9,,
Diptera,Blephariceridae,Pinned,New Zealand,129,4,,
Diptera,Bombyliidae,Pinned,New Zealand,14,14,,
Diptera,Calliphoridae,Pinned,New Zealand,5488,2346,,
Diptera,Canacidae,Pinned,New Zealand,573,16,,
Diptera,Cecidomyiidae,Pinned,New Zealand,801,3,,
Diptera,Ceratopogonidae,Pinned,New Zealand,1349,73,,
Diptera,Chaoboridae,Pinned,New Zealand,2,0,,
Diptera,Chironomidae,Pinned,New Zealand,3625,0,,
Diptera,Chloropidae,Pinned,New Zealand,2650,194,,
Diptera,Clusiidae,Pinned,New Zealand,5,0,,
Diptera,Coelopidae,Pinned,New Zealand,2003,2,,
Diptera,Conopidae,Pinned,New Zealand,145,0,,
Diptera,Cryptochetidae,Pinned,New Zealand,137,0,,
Diptera,Culicidae,Pinned,New Zealand,2277,20,,
Diptera,Cypselomatidae,Pinned,New Zealand,2,2,,
Diptera,Diopsidae,Pinned,New Zealand,4,0,,
Diptera,Dixidae,Pinned,New Zealand,63,18,,
Diptera,Dolichopodidae,Pinned,New Zealand,5788,121,,
Diptera,Drosophilidae,Pinned,New Zealand,3341,10,,
Diptera,Dryomyzidae,Pinned,New Zealand,40,0,,
Diptera,Empididae,Pinned,New Zealand,3716,59,,
Diptera,Ephydridae,Pinned,New Zealand,9789,57,,
Diptera,Fanniidae,Pinned,New Zealand,2152,29,,
Diptera,Fergusoninidae,Pinned,New Zealand,4,0,,
Diptera,Glossinidae,Pinned,New Zealand,95,0,,
Diptera,Heleomyzidae,Pinned,New Zealand,2044,51,,
Diptera,Helosciomyzidae,Pinned,New Zealand,362,16,,
Diptera,Hippoboscidae,Pinned,New Zealand,136,20,,
Diptera,Hybotidae,Pinned,New Zealand,263,6,,
Diptera,Keroplatidae,Pinned,New Zealand,836,54,,
Diptera,Lauxaniidae,Pinned,New Zealand,1640,34,,
Diptera,Lonchopteridae,Pinned,New Zealand,843,0,,
Diptera,Lygistorrhinidae,Pinned,New Zealand,14,0,,
Diptera,Milichiidae,Pinned,New Zealand,174,0,,
Diptera,Muscidae,Pinned,New Zealand,9058,8,,
Diptera,Mycetophilidae,Pinned,New Zealand,1425,762,,
Diptera,Mystacinobiidae,Pinned,New Zealand,34,34,,
Diptera,Neurochaetidae,Pinned,New Zealand,6,0,,
Diptera,Oestridae,Pinned,New Zealand,37,0,,
Diptera,Opomyzidae,Pinned,New Zealand,8,0,,
Diptera,Oreogetonidae,Pinned,New Zealand,11,5,,
Diptera,Pallopteridae,Pinned,New Zealand,269,16,,
Diptera,Pediciidae,Pinned,New Zealand,10,0,,
Diptera,Pelecorhynchidae,Pinned,New Zealand,2,0,,
Diptera,Periscelididae,Pinned,New Zealand,10,0,,
Diptera,Phoridae,Pinned,New Zealand,2919,26,,
Diptera,Piophilidae,Pinned,New Zealand,168,8,,
Diptera,Pipunculidae,Pinned,New Zealand,16,16,,
Diptera,Platypezidae,Pinned,New Zealand,20,0,,
Diptera,Platystomatidae,Pinned,New Zealand,34,1,,
Diptera,Pseudopomyzidae,Pinned,New Zealand,327,0,,
Diptera,Psychodidae,Pinned,New Zealand,1819,166,,
Diptera,Pyrgotidae,Pinned,New Zealand,389,0,,
Diptera,Rangamaramidae,Pinned,New Zealand,75,0,,
Diptera,Rhiniidae,Pinned,New Zealand,27,0,,
Diptera,Richardiidae,Pinned,New Zealand,2,0,,
Diptera,Ropalomeridae,Pinned,New Zealand,4,0,,
Diptera,Sarcophagidae,Pinned,New Zealand,716,43,,
Diptera,Scatopsidae,Pinned,New Zealand,389,0,,
Diptera,Scenopinidae,Pinned,New Zealand,1,0,,
Diptera,Sciaridae,Pinned,New Zealand,4379,21,,
Diptera,Sciomyzidae,Pinned,New Zealand,665,17,,
Diptera,Simuliidae,Pinned,New Zealand,1880,17,,
Diptera,Sphaeroceridae,Pinned,New Zealand,1953,72,,
Diptera,Stenomicridae,Pinned,New Zealand,8,0,,
Diptera,Stratiomyidae,Pinned,New Zealand,2141,43,,
Diptera,Syrphidae,Pinned,New Zealand,3716,2790,,
Diptera,Tabanidae,Pinned,New Zealand,493,41,,
Diptera,Tachinidae,Pinned,New Zealand,9376,110,,
Diptera,Tanyderidae,Pinned,New Zealand,28,0,,
Diptera,Tephritidae,Pinned,New Zealand,2263,896,,
Diptera,Teratomyzidae,Pinned,New Zealand,76,1,,
Diptera,Thaumaleidae,Pinned,New Zealand,10,6,,
Diptera,Therevidae,Pinned,New Zealand,310,151,,
Diptera,Tipulidae,Pinned,New Zealand,3611,78,,
Diptera,Trichoceridae,Pinned,New Zealand,225,2,,
Ephemeroptera,All families,Pinned,New Zealand,630,0,,
Hemiptera,Acanthosomatidae,Pinned,New Zealand,1235,1235,,
Hemiptera,Achilidae,Pinned,New Zealand,272,272,,
Hemiptera,Aenictopecheidae,Pinned,New Zealand,122,122,,
Hemiptera,Alydidae,Pinned,New Zealand,4,4,,
Hemiptera,Anthocoridae,Pinned,New Zealand,1266,1265,,
Hemiptera,Aphididae,Pinned,New Zealand,40,2,,
Hemiptera,Aradidae,Pinned,New Zealand,5440,5436,,
Hemiptera,Artheneidae,Pinned,New Zealand,20,20,,
Hemiptera,Berytidae,Pinned,New Zealand,24,24,,
Hemiptera,Ceratocombidae,Pinned,New Zealand,910,908,,
Hemiptera,Cercopidae,Pinned,New Zealand,1732,697,,
Hemiptera,Cicadellidae,Pinned,New Zealand,13290,13290,,
Hemiptera,Cicadidae,Pinned,New Zealand,4145,4144,,
Hemiptera,Cimicidae,Pinned,New Zealand,48,48,,
Hemiptera,Cixiidae,Pinned,New Zealand,4436,4434,,
Hemiptera,Coreidae,Pinned,New Zealand,183,183,,
Hemiptera,Corixidae,Pinned,New Zealand,1061,1061,,
Hemiptera,Cydnidae,Pinned,New Zealand,478,478,,
Hemiptera,Cymidae,Pinned,New Zealand,282,282,,
Hemiptera,Delphacidae,Pinned,New Zealand,2075,2075,,
Hemiptera,Derbidae,Pinned,New Zealand,155,155,,
Hemiptera,Dictyopharidae,Pinned,New Zealand,179,179,,
Hemiptera,Enicocephalidae,Pinned,New Zealand,322,321,,
Hemiptera,Flatidae,Pinned,New Zealand,404,404,,
Hemiptera,Heterogastridae,Pinned,New Zealand,2,2,,
Hemiptera,Hydrometridae,Pinned,New Zealand,65,65,,
Hemiptera,Lygaeidae,Pinned,New Zealand,5905,5905,,
Hemiptera,Membracidae,Pinned,New Zealand,166,166,,
Hemiptera,Mesoveliidae,Pinned,New Zealand,72,72,,
Hemiptera,Miridae,Pinned,New Zealand,11890,11875,,
Hemiptera,Myerslopiidae,Pinned,New Zealand,1412,1412,,
Hemiptera,Nabidae,Pinned,New Zealand,937,937,,
Hemiptera,Notonectidae,Pinned,New Zealand,529,529,,
Hemiptera,Peloridiidae,Pinned,New Zealand,1047,1045,,
Hemiptera,Pentatomidae,Pinned,New Zealand,1695,1694,,
Hemiptera,Psyllidae,Pinned,New Zealand,2500,70,,
Hemiptera,Reduviidae,Pinned,New Zealand,335,335,,
Hemiptera,Rhyparochromidae,Pinned,New Zealand,8221,8183,,
Hemiptera,Ricaniidae,Pinned,New Zealand,407,407,,
Hemiptera,Saldidae,Pinned,New Zealand,6983,6983,,
Hemiptera,Schizopteridae,Pinned,New Zealand,30,30,,
Hemiptera,Tingidae,Pinned,New Zealand,606,603,,
Hemiptera,Triozidae,Pinned,New Zealand,35,0,,
Hemiptera,Ulopidae,Pinned,New Zealand,650,0,,
Hemiptera,Veliidae,Pinned,New Zealand,1022,1022,,
Hymenoptera,Combined small families,Pinned,New Zealand,17000,865,,
Hymenoptera,Agaonidae,Pinned,New Zealand,45,2,,
Hymenoptera,Aphelinidae,Pinned,New Zealand,2350,59,,
Hymenoptera,Apidae,Pinned,New Zealand,1993,1993,,
Hymenoptera,Bethylidae,Pinned,New Zealand,847,847,,
Hymenoptera,Braconidae,Pinned,New Zealand,21234,21234,,
Hymenoptera,Ceraphronidae,Pinned,New Zealand,1890,38,,
Hymenoptera,Chalcididae,Pinned,New Zealand,100,4,,
Hymenoptera,Colletidae,Pinned,New Zealand,3385,3385,,
Hymenoptera,Crabronidae,Pinned,New Zealand,1947,1947,,
Hymenoptera,Cynipidae,Pinned,New Zealand,91,91,,
Hymenoptera,Diapriidae,Pinned,New Zealand,12700,4319,,
Hymenoptera,Dryinidae,Pinned,New Zealand,249,249,,
Hymenoptera,Encyrtidae,Pinned,New Zealand,2900,1786,,
Hymenoptera,Eulophidae,Pinned,New Zealand,9750,217,,
Hymenoptera,Eupelmidae,Pinned,New Zealand,470,73,,
Hymenoptera,Eurytomidae,Pinned,New Zealand,410,1,,
Hymenoptera,Figitidae,Pinned,New Zealand,1855,1852,,
Hymenoptera,Formicidae,Pinned,New Zealand,4819,4819,,
Hymenoptera,Gasteruptiidae,Pinned,New Zealand,555,555,,
Hymenoptera,Halictidae,Pinned,New Zealand,2130,2130,,
Hymenoptera,Ibaliidae,Pinned,New Zealand,20,20,,
Hymenoptera,Ichneumonidae,Pinned,New Zealand,19760,19318,,
Hymenoptera,Maamingidae,Pinned,New Zealand,80,46,,
Hymenoptera,Megachilidae,Pinned,New Zealand,59,59,,
Hymenoptera,Megaspilidae,Pinned,New Zealand,1230,839,,
Hymenoptera,Mutillidae,Pinned,New Zealand,41,41,,
Hymenoptera,Mymaridae,Pinned,New Zealand,5980,714,,
Hymenoptera,Mymarommatidae,Pinned,New Zealand,60,1,,
Hymenoptera,Orussidae,Pinned,New Zealand,127,127,,
Hymenoptera,Pergidae,Pinned,New Zealand,164,164,,
Hymenoptera,Perilampidae,Pinned,New Zealand,60,1,,
Hymenoptera,Platygastridae,Pinned,New Zealand,11220,2259,,
Hymenoptera,Pompilidae,Pinned,New Zealand,1623,1623,,
Hymenoptera,Proctotrupidae,Pinned,New Zealand,1565,239,,
Hymenoptera,Pteromalidae,Pinned,New Zealand,7350,729,,
Hymenoptera,Rotoitidae,Pinned,New Zealand,10,6,,
Hymenoptera,Scoliidae,Pinned,New Zealand,11,11,,
Hymenoptera,Signiphoridae,Pinned,New Zealand,140,16,,
Hymenoptera,Siricidae,Pinned,New Zealand,118,118,,
Hymenoptera,Sphecidae,Pinned,New Zealand,14,14,,
Hymenoptera,Tenthredinidae,Pinned,New Zealand,358,358,,
Hymenoptera,Torymidae,Pinned,New Zealand,710,61,,
Hymenoptera,Trichogrammatidae,Pinned,New Zealand,910,0,,
Hymenoptera,Vespidae,Pinned,New Zealand,1205,1205,,
Hymenoptera,Xiphydriidae,Pinned,New Zealand,58,58,,
Isoptera,All families,Pinned,New Zealand,210,0,,
Lepidoptera,Combined small families,Pinned,New Zealand,8391,91,,
Lepidoptera,Arctiidae,Pinned,New Zealand,1,0,,
Lepidoptera,Batrachedridae,Pinned,New Zealand,415,63,,
Lepidoptera,Carposinidae,Pinned,New Zealand,543,26,,
Lepidoptera,Choreutidae,Pinned,New Zealand,560,14,,
Lepidoptera,Coleophoridae,Pinned,New Zealand,200,27,,
Lepidoptera,Copromorphidae,Pinned,New Zealand,75,3,,
Lepidoptera,Cosmopterigidae,Pinned,New Zealand,195,13,,
Lepidoptera,Cossidae,Pinned,New Zealand,1,0,,
Lepidoptera,Crambidae,Pinned,New Zealand,10257,585,,
Lepidoptera,Depressariidae,Pinned,New Zealand,940,8,,
Lepidoptera,Elachistidae,Pinned,New Zealand,1250,209,,
Lepidoptera,Epermeniidae,Pinned,New Zealand,10,1,,
Lepidoptera,Erebidae,Pinned,New Zealand,913,164,,
Lepidoptera,Gelechiidae,Pinned,New Zealand,1472,154,,
Lepidoptera,Geometridae,Pinned,New Zealand,22220,2340,,
Lepidoptera,Glyphipterigidae,Pinned,New Zealand,1635,44,,
Lepidoptera,Gracillariidae,Pinned,New Zealand,970,76,,
Lepidoptera,Hepialidae,Pinned,New Zealand,6308,1395,,
Lepidoptera,Lycaenidae,Pinned,New Zealand,1026,14,,
Lepidoptera,Micropterygidae,Pinned,New Zealand,976,19,,
Lepidoptera,Mnesarchaeidae,Pinned,New Zealand,608,21,,
Lepidoptera,Momphidae,Pinned,New Zealand,190,0,,
Lepidoptera,Nepticulidae,Pinned,New Zealand,1012,26,,
Lepidoptera,Noctuidae,Pinned,New Zealand,12368,857,,
Lepidoptera,Nolidae,Pinned,New Zealand,13,0,,
Lepidoptera,Nymphalidae,Pinned,New Zealand,945,11,,
Lepidoptera,Oecophoridae,Pinned,New Zealand,5827,552,,
Lepidoptera,Pieridae,Pinned,New Zealand,77,49,,
Lepidoptera,Plutellidae,Pinned,New Zealand,710,76,,
Lepidoptera,Psychidae,Pinned,New Zealand,893,87,,
Lepidoptera,Pterolonchidae,Pinned,New Zealand,57,0,,
Lepidoptera,Pterophoridae,Pinned,New Zealand,767,22,,
Lepidoptera,Pyralidae,Pinned,New Zealand,1153,70,,
Lepidoptera,Roeslerstammiidae,Pinned,New Zealand,87,0,,
Lepidoptera,Saturniidae,Pinned,New Zealand,44,21,,
Lepidoptera,Scythrididae,Pinned,New Zealand,85,2,,
Lepidoptera,Sphingidae,Pinned,New Zealand,82,0,,
Lepidoptera,Stathmopodidae,Pinned,New Zealand,880,58,,
Lepidoptera,Thyrididae,Pinned,New Zealand,55,4,,
Lepidoptera,Tineidae,Pinned,New Zealand,3693,440,,
Lepidoptera,Tortricidae,Pinned,New Zealand,14298,401,,
Lepidoptera,Xyloryctidae,Pinned,New Zealand,3526,1,,
Lepidoptera,Yponomeutidae,Pinned,New Zealand,160,5,,
Mantodea,All families,Pinned,New Zealand,487,297,,
Mecoptera,All families,Pinned,New Zealand,180,2,,
Megaloptera,All families,Pinned,New Zealand,83,83,,
Neuroptera,All families,Pinned,New Zealand,1062,8,,
Odonata,All families,Pinned,New Zealand,1559,1559,,
Orthoptera,All families,Pinned,New Zealand,1799,40,,
Phasmida,Phasmatodea,Pinned,New Zealand,465,338,,
Plecoptera,All families,Pinned,New Zealand,470,185,,
Psocoptera,All families,Pinned,New Zealand,110,15,,
Trichoptera,All families,Pinned,New Zealand,3200,47,,
